group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,black scholes,500,,,988710.0,ns,13512
compare binomial and black scholes,black scholes,500,,,1978521.0,ns,27024
compare binomial and black scholes,black scholes,500,,,2971330.0,ns,40536
compare binomial and black scholes,black scholes,500,,,3959341.0,ns,54048
compare binomial and black scholes,black scholes,500,,,4950651.0,ns,67560
compare binomial and black scholes,black scholes,500,,,5941561.0,ns,81072
compare binomial and black scholes,black scholes,500,,,6928971.0,ns,94584
compare binomial and black scholes,black scholes,500,,,7923381.0,ns,108096
compare binomial and black scholes,black scholes,500,,,9016093.0,ns,121608
compare binomial and black scholes,black scholes,500,,,10045903.0,ns,135120
compare binomial and black scholes,black scholes,500,,,10896712.0,ns,148632
compare binomial and black scholes,black scholes,500,,,11875822.0,ns,162144
compare binomial and black scholes,black scholes,500,,,12866732.0,ns,175656
compare binomial and black scholes,black scholes,500,,,13864143.0,ns,189168
compare binomial and black scholes,black scholes,500,,,14845753.0,ns,202680
compare binomial and black scholes,black scholes,500,,,15847562.0,ns,216192
compare binomial and black scholes,black scholes,500,,,16862174.0,ns,229704
compare binomial and black scholes,black scholes,500,,,17816783.0,ns,243216
compare binomial and black scholes,black scholes,500,,,18805293.0,ns,256728
compare binomial and black scholes,black scholes,500,,,19820304.0,ns,270240
compare binomial and black scholes,black scholes,500,,,20827214.0,ns,283752
compare binomial and black scholes,black scholes,500,,,21785924.0,ns,297264
compare binomial and black scholes,black scholes,500,,,22772734.0,ns,310776
compare binomial and black scholes,black scholes,500,,,23761344.0,ns,324288
compare binomial and black scholes,black scholes,500,,,24753154.0,ns,337800
compare binomial and black scholes,black scholes,500,,,25742365.0,ns,351312
compare binomial and black scholes,black scholes,500,,,26725975.0,ns,364824
compare binomial and black scholes,black scholes,500,,,27713784.0,ns,378336
compare binomial and black scholes,black scholes,500,,,28707395.0,ns,391848
compare binomial and black scholes,black scholes,500,,,29710606.0,ns,405360
compare binomial and black scholes,black scholes,500,,,30694115.0,ns,418872
compare binomial and black scholes,black scholes,500,,,31670026.0,ns,432384
compare binomial and black scholes,black scholes,500,,,32663835.0,ns,445896
compare binomial and black scholes,black scholes,500,,,33659446.0,ns,459408
compare binomial and black scholes,black scholes,500,,,34648256.0,ns,472920
compare binomial and black scholes,black scholes,500,,,35647967.0,ns,486432
compare binomial and black scholes,black scholes,500,,,36621176.0,ns,499944
compare binomial and black scholes,black scholes,500,,,37619687.0,ns,513456
