group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,black scholes,500,,,1069766.0,ns,24042
compare binomial and black scholes,black scholes,500,,,1963573.0,ns,48084
compare binomial and black scholes,black scholes,500,,,2955123.0,ns,72126
compare binomial and black scholes,black scholes,500,,,3949638.0,ns,96168
compare binomial and black scholes,black scholes,500,,,4937662.0,ns,120210
compare binomial and black scholes,black scholes,500,,,5900367.0,ns,144252
compare binomial and black scholes,black scholes,500,,,6889453.0,ns,168294
compare binomial and black scholes,black scholes,500,,,7869891.0,ns,192336
compare binomial and black scholes,black scholes,500,,,8886568.0,ns,216378
compare binomial and black scholes,black scholes,500,,,9851027.0,ns,240420
compare binomial and black scholes,black scholes,500,,,10838289.0,ns,264462
compare binomial and black scholes,black scholes,500,,,11804572.0,ns,288504
compare binomial and black scholes,black scholes,500,,,12795971.0,ns,312546
compare binomial and black scholes,black scholes,500,,,13952189.0,ns,336588
compare binomial and black scholes,black scholes,500,,,14802925.0,ns,360630
compare binomial and black scholes,black scholes,500,,,15742277.0,ns,384672
compare binomial and black scholes,black scholes,500,,,16728048.0,ns,408714
compare binomial and black scholes,black scholes,500,,,17712784.0,ns,432756
compare binomial and black scholes,black scholes,500,,,18732746.0,ns,456798
compare binomial and black scholes,black scholes,500,,,19686176.0,ns,480840
compare binomial and black scholes,black scholes,500,,,20720365.0,ns,504882
compare binomial and black scholes,black scholes,500,,,21652535.0,ns,528924
compare binomial and black scholes,black scholes,500,,,22643562.0,ns,552966
compare binomial and black scholes,black scholes,500,,,23930203.0,ns,577008
compare binomial and black scholes,black scholes,500,,,25154317.0,ns,601050
compare binomial and black scholes,black scholes,500,,,25582475.0,ns,625092
compare binomial and black scholes,black scholes,500,,,26599162.0,ns,649134
compare binomial and black scholes,black scholes,500,,,27556658.0,ns,673176
compare binomial and black scholes,black scholes,500,,,28541645.0,ns,697218
compare binomial and black scholes,black scholes,500,,,29517086.0,ns,721260
compare binomial and black scholes,black scholes,500,,,30522370.0,ns,745302
compare binomial and black scholes,black scholes,500,,,31522937.0,ns,769344
compare binomial and black scholes,black scholes,500,,,32476496.0,ns,793386
compare binomial and black scholes,black scholes,500,,,33499604.0,ns,817428
compare binomial and black scholes,black scholes,500,,,34451280.0,ns,841470
compare binomial and black scholes,black scholes,500,,,35423203.0,ns,865512
compare binomial and black scholes,black scholes,500,,,36428869.0,ns,889554
compare binomial and black scholes,black scholes,500,,,37410090.0,ns,913596
compare binomial and black scholes,black scholes,500,,,38893638.0,ns,937638
compare binomial and black scholes,black scholes,500,,,39367011.0,ns,961680
compare binomial and black scholes,black scholes,500,,,40379039.0,ns,985722
compare binomial and black scholes,black scholes,500,,,41335734.0,ns,1009764
compare binomial and black scholes,black scholes,500,,,42510175.0,ns,1033806
compare binomial and black scholes,black scholes,500,,,43263539.0,ns,1057848
compare binomial and black scholes,black scholes,500,,,44305163.0,ns,1081890
compare binomial and black scholes,black scholes,500,,,45322390.0,ns,1105932
compare binomial and black scholes,black scholes,500,,,46282101.0,ns,1129974
compare binomial and black scholes,black scholes,500,,,47232093.0,ns,1154016
compare binomial and black scholes,black scholes,500,,,48468921.0,ns,1178058
compare binomial and black scholes,black scholes,500,,,49243645.0,ns,1202100
compare binomial and black scholes,black scholes,500,,,52586042.0,ns,1226142
compare binomial and black scholes,black scholes,500,,,51181722.0,ns,1250184
compare binomial and black scholes,black scholes,500,,,52177019.0,ns,1274226
compare binomial and black scholes,black scholes,500,,,53114497.0,ns,1298268
compare binomial and black scholes,black scholes,500,,,54180055.0,ns,1322310
compare binomial and black scholes,black scholes,500,,,55216358.0,ns,1346352
compare binomial and black scholes,black scholes,500,,,56073908.0,ns,1370394
compare binomial and black scholes,black scholes,500,,,57077120.0,ns,1394436
compare binomial and black scholes,black scholes,500,,,58217116.0,ns,1418478
compare binomial and black scholes,black scholes,500,,,59146319.0,ns,1442520
compare binomial and black scholes,black scholes,500,,,60049154.0,ns,1466562
compare binomial and black scholes,black scholes,500,,,61092541.0,ns,1490604
compare binomial and black scholes,black scholes,500,,,62004652.0,ns,1514646
compare binomial and black scholes,black scholes,500,,,63030666.0,ns,1538688
compare binomial and black scholes,black scholes,500,,,63989435.0,ns,1562730
compare binomial and black scholes,black scholes,500,,,65011211.0,ns,1586772
compare binomial and black scholes,black scholes,500,,,65992892.0,ns,1610814
compare binomial and black scholes,black scholes,500,,,66933758.0,ns,1634856
compare binomial and black scholes,black scholes,500,,,68000167.0,ns,1658898
compare binomial and black scholes,black scholes,500,,,68904023.0,ns,1682940
compare binomial and black scholes,black scholes,500,,,69904480.0,ns,1706982
compare binomial and black scholes,black scholes,500,,,70877575.0,ns,1731024
compare binomial and black scholes,black scholes,500,,,71886667.0,ns,1755066
compare binomial and black scholes,black scholes,500,,,72857348.0,ns,1779108
compare binomial and black scholes,black scholes,500,,,74310689.0,ns,1803150
compare binomial and black scholes,black scholes,500,,,75786964.0,ns,1827192
compare binomial and black scholes,black scholes,500,,,76106339.0,ns,1851234
compare binomial and black scholes,black scholes,500,,,76836552.0,ns,1875276
compare binomial and black scholes,black scholes,500,,,77766937.0,ns,1899318
compare binomial and black scholes,black scholes,500,,,78804664.0,ns,1923360
compare binomial and black scholes,black scholes,500,,,79751670.0,ns,1947402
compare binomial and black scholes,black scholes,500,,,80680843.0,ns,1971444
compare binomial and black scholes,black scholes,500,,,81680739.0,ns,1995486
compare binomial and black scholes,black scholes,500,,,82714727.0,ns,2019528
compare binomial and black scholes,black scholes,500,,,83676953.0,ns,2043570
compare binomial and black scholes,black scholes,500,,,84677219.0,ns,2067612
compare binomial and black scholes,black scholes,500,,,85692713.0,ns,2091654
compare binomial and black scholes,black scholes,500,,,86700243.0,ns,2115696
compare binomial and black scholes,black scholes,500,,,87726978.0,ns,2139738
compare binomial and black scholes,black scholes,500,,,88639811.0,ns,2163780
compare binomial and black scholes,black scholes,500,,,89604311.0,ns,2187822
compare binomial and black scholes,black scholes,500,,,90625316.0,ns,2211864
compare binomial and black scholes,black scholes,500,,,91559147.0,ns,2235906
compare binomial and black scholes,black scholes,500,,,92554364.0,ns,2259948
compare binomial and black scholes,black scholes,500,,,93500799.0,ns,2283990
compare binomial and black scholes,black scholes,500,,,94529369.0,ns,2308032
compare binomial and black scholes,black scholes,500,,,95535806.0,ns,2332074
compare binomial and black scholes,black scholes,500,,,97007121.0,ns,2356116
compare binomial and black scholes,black scholes,500,,,97490523.0,ns,2380158
compare binomial and black scholes,black scholes,500,,,98393077.0,ns,2404200
