group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,binomial,1000,,,51290734.0,ns,17
compare binomial and black scholes,binomial,1000,,,50882914.0,ns,17
compare binomial and black scholes,binomial,1000,,,50706003.0,ns,17
compare binomial and black scholes,binomial,1000,,,50761467.0,ns,17
compare binomial and black scholes,binomial,1000,,,50843059.0,ns,17
compare binomial and black scholes,binomial,1000,,,50751468.0,ns,17
compare binomial and black scholes,binomial,1000,,,50722294.0,ns,17
compare binomial and black scholes,binomial,1000,,,50849100.0,ns,17
compare binomial and black scholes,binomial,1000,,,50790652.0,ns,17
compare binomial and black scholes,binomial,1000,,,50731771.0,ns,17
compare binomial and black scholes,binomial,1000,,,50861934.0,ns,17
compare binomial and black scholes,binomial,1000,,,50718406.0,ns,17
compare binomial and black scholes,binomial,1000,,,53297639.0,ns,17
compare binomial and black scholes,binomial,1000,,,50763330.0,ns,17
compare binomial and black scholes,binomial,1000,,,50919041.0,ns,17
compare binomial and black scholes,binomial,1000,,,50802934.0,ns,17
compare binomial and black scholes,binomial,1000,,,51097594.0,ns,17
compare binomial and black scholes,binomial,1000,,,50747420.0,ns,17
compare binomial and black scholes,binomial,1000,,,50808986.0,ns,17
compare binomial and black scholes,binomial,1000,,,50808855.0,ns,17
compare binomial and black scholes,binomial,1000,,,50921756.0,ns,17
compare binomial and black scholes,binomial,1000,,,50750046.0,ns,17
compare binomial and black scholes,binomial,1000,,,50744345.0,ns,17
compare binomial and black scholes,binomial,1000,,,50805319.0,ns,17
compare binomial and black scholes,binomial,1000,,,50788347.0,ns,17
compare binomial and black scholes,binomial,1000,,,50714880.0,ns,17
compare binomial and black scholes,binomial,1000,,,50704721.0,ns,17
compare binomial and black scholes,binomial,1000,,,50876392.0,ns,17
compare binomial and black scholes,binomial,1000,,,50708137.0,ns,17
compare binomial and black scholes,binomial,1000,,,50697437.0,ns,17
compare binomial and black scholes,binomial,1000,,,50806942.0,ns,17
compare binomial and black scholes,binomial,1000,,,50718567.0,ns,17
compare binomial and black scholes,binomial,1000,,,50754654.0,ns,17
compare binomial and black scholes,binomial,1000,,,51067368.0,ns,17
