group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,binomial,500,,,1609552.0,ns,2
compare binomial and black scholes,binomial,500,,,3011055.0,ns,4
compare binomial and black scholes,binomial,500,,,4503247.0,ns,6
compare binomial and black scholes,binomial,500,,,6005628.0,ns,8
compare binomial and black scholes,binomial,500,,,7497440.0,ns,10
compare binomial and black scholes,binomial,500,,,9011482.0,ns,12
compare binomial and black scholes,binomial,500,,,10515497.0,ns,14
compare binomial and black scholes,binomial,500,,,12007288.0,ns,16
compare binomial and black scholes,binomial,500,,,13511183.0,ns,18
compare binomial and black scholes,binomial,500,,,14994058.0,ns,20
compare binomial and black scholes,binomial,500,,,16575767.0,ns,22
compare binomial and black scholes,binomial,500,,,18220263.0,ns,24
compare binomial and black scholes,binomial,500,,,19511982.0,ns,26
compare binomial and black scholes,binomial,500,,,21043737.0,ns,28
compare binomial and black scholes,binomial,500,,,22535489.0,ns,30
compare binomial and black scholes,binomial,500,,,24028703.0,ns,32
compare binomial and black scholes,binomial,500,,,25514113.0,ns,34
compare binomial and black scholes,binomial,500,,,27124225.0,ns,36
compare binomial and black scholes,binomial,500,,,28558019.0,ns,38
compare binomial and black scholes,binomial,500,,,30028511.0,ns,40
compare binomial and black scholes,binomial,500,,,31622202.0,ns,42
compare binomial and black scholes,binomial,500,,,33035057.0,ns,44
compare binomial and black scholes,binomial,500,,,35318164.0,ns,46
compare binomial and black scholes,binomial,500,,,36101174.0,ns,48
compare binomial and black scholes,binomial,500,,,37561968.0,ns,50
compare binomial and black scholes,binomial,500,,,39041637.0,ns,52
compare binomial and black scholes,binomial,500,,,40572802.0,ns,54
compare binomial and black scholes,binomial,500,,,42144392.0,ns,56
compare binomial and black scholes,binomial,500,,,43809696.0,ns,58
compare binomial and black scholes,binomial,500,,,45107076.0,ns,60
compare binomial and black scholes,binomial,500,,,46586544.0,ns,62
compare binomial and black scholes,binomial,500,,,48084167.0,ns,64
compare binomial and black scholes,binomial,500,,,49597329.0,ns,66
compare binomial and black scholes,binomial,500,,,51046049.0,ns,68
compare binomial and black scholes,binomial,500,,,52601730.0,ns,70
compare binomial and black scholes,binomial,500,,,54090296.0,ns,72
compare binomial and black scholes,binomial,500,,,55640707.0,ns,74
compare binomial and black scholes,binomial,500,,,57103405.0,ns,76
compare binomial and black scholes,binomial,500,,,58611837.0,ns,78
compare binomial and black scholes,binomial,500,,,60069294.0,ns,80
compare binomial and black scholes,binomial,500,,,61766289.0,ns,82
compare binomial and black scholes,binomial,500,,,63103943.0,ns,84
compare binomial and black scholes,binomial,500,,,64674731.0,ns,86
compare binomial and black scholes,binomial,500,,,66209133.0,ns,88
compare binomial and black scholes,binomial,500,,,67585419.0,ns,90
compare binomial and black scholes,binomial,500,,,69111876.0,ns,92
compare binomial and black scholes,binomial,500,,,70700086.0,ns,94
compare binomial and black scholes,binomial,500,,,72266928.0,ns,96
compare binomial and black scholes,binomial,500,,,73672899.0,ns,98
compare binomial and black scholes,binomial,500,,,75085183.0,ns,100
compare binomial and black scholes,binomial,500,,,76741822.0,ns,102
compare binomial and black scholes,binomial,500,,,78188890.0,ns,104
compare binomial and black scholes,binomial,500,,,79672627.0,ns,106
compare binomial and black scholes,binomial,500,,,81160121.0,ns,108
compare binomial and black scholes,binomial,500,,,82769861.0,ns,110
compare binomial and black scholes,binomial,500,,,84145807.0,ns,112
compare binomial and black scholes,binomial,500,,,86396674.0,ns,114
compare binomial and black scholes,binomial,500,,,87158474.0,ns,116
compare binomial and black scholes,binomial,500,,,88817438.0,ns,118
compare binomial and black scholes,binomial,500,,,90109006.0,ns,120
compare binomial and black scholes,binomial,500,,,91844151.0,ns,122
compare binomial and black scholes,binomial,500,,,93230717.0,ns,124
compare binomial and black scholes,binomial,500,,,94654692.0,ns,126
compare binomial and black scholes,binomial,500,,,96163545.0,ns,128
compare binomial and black scholes,binomial,500,,,97729977.0,ns,130
compare binomial and black scholes,binomial,500,,,99324058.0,ns,132
compare binomial and black scholes,binomial,500,,,100714331.0,ns,134
compare binomial and black scholes,binomial,500,,,102354609.0,ns,136
compare binomial and black scholes,binomial,500,,,103684068.0,ns,138
compare binomial and black scholes,binomial,500,,,105220993.0,ns,140
compare binomial and black scholes,binomial,500,,,106799267.0,ns,142
compare binomial and black scholes,binomial,500,,,108135419.0,ns,144
compare binomial and black scholes,binomial,500,,,109640354.0,ns,146
compare binomial and black scholes,binomial,500,,,111297514.0,ns,148
compare binomial and black scholes,binomial,500,,,113612129.0,ns,150
compare binomial and black scholes,binomial,500,,,117198055.0,ns,152
compare binomial and black scholes,binomial,500,,,116062859.0,ns,154
compare binomial and black scholes,binomial,500,,,121822399.0,ns,156
compare binomial and black scholes,binomial,500,,,118737737.0,ns,158
compare binomial and black scholes,binomial,500,,,120518387.0,ns,160
compare binomial and black scholes,binomial,500,,,121653985.0,ns,162
compare binomial and black scholes,binomial,500,,,123377368.0,ns,164
compare binomial and black scholes,binomial,500,,,124679957.0,ns,166
compare binomial and black scholes,binomial,500,,,126370529.0,ns,168
compare binomial and black scholes,binomial,500,,,128709269.0,ns,170
compare binomial and black scholes,binomial,500,,,131252923.0,ns,172
compare binomial and black scholes,binomial,500,,,130831967.0,ns,174
compare binomial and black scholes,binomial,500,,,132456827.0,ns,176
compare binomial and black scholes,binomial,500,,,133789442.0,ns,178
compare binomial and black scholes,binomial,500,,,135283507.0,ns,180
compare binomial and black scholes,binomial,500,,,139538351.0,ns,182
compare binomial and black scholes,binomial,500,,,139076877.0,ns,184
compare binomial and black scholes,binomial,500,,,139872435.0,ns,186
compare binomial and black scholes,binomial,500,,,141376700.0,ns,188
compare binomial and black scholes,binomial,500,,,142776943.0,ns,190
compare binomial and black scholes,binomial,500,,,144473958.0,ns,192
compare binomial and black scholes,binomial,500,,,145842642.0,ns,194
