group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,binomial,100,,,1112235.0,ns,32
compare binomial and black scholes,binomial,100,,,2003588.0,ns,64
compare binomial and black scholes,binomial,100,,,2996400.0,ns,96
compare binomial and black scholes,binomial,100,,,3987560.0,ns,128
compare binomial and black scholes,binomial,100,,,5029523.0,ns,160
compare binomial and black scholes,binomial,100,,,5988302.0,ns,192
compare binomial and black scholes,binomial,100,,,6993066.0,ns,224
compare binomial and black scholes,binomial,100,,,7984576.0,ns,256
compare binomial and black scholes,binomial,100,,,8983249.0,ns,288
compare binomial and black scholes,binomial,100,,,10037095.0,ns,320
compare binomial and black scholes,binomial,100,,,10995593.0,ns,352
compare binomial and black scholes,binomial,100,,,11994557.0,ns,384
compare binomial and black scholes,binomial,100,,,12985726.0,ns,416
compare binomial and black scholes,binomial,100,,,13999076.0,ns,448
compare binomial and black scholes,binomial,100,,,14988963.0,ns,480
compare binomial and black scholes,binomial,100,,,15981966.0,ns,512
compare binomial and black scholes,binomial,100,,,16987812.0,ns,544
compare binomial and black scholes,binomial,100,,,18050795.0,ns,576
compare binomial and black scholes,binomial,100,,,19008422.0,ns,608
compare binomial and black scholes,binomial,100,,,19989412.0,ns,640
compare binomial and black scholes,binomial,100,,,20955725.0,ns,672
compare binomial and black scholes,binomial,100,,,21961591.0,ns,704
compare binomial and black scholes,binomial,100,,,22957039.0,ns,736
compare binomial and black scholes,binomial,100,,,23941274.0,ns,768
compare binomial and black scholes,binomial,100,,,24983369.0,ns,800
compare binomial and black scholes,binomial,100,,,26000376.0,ns,832
compare binomial and black scholes,binomial,100,,,26944487.0,ns,864
compare binomial and black scholes,binomial,100,,,27974200.0,ns,896
compare binomial and black scholes,binomial,100,,,28953926.0,ns,928
compare binomial and black scholes,binomial,100,,,30731361.0,ns,960
compare binomial and black scholes,binomial,100,,,30945712.0,ns,992
compare binomial and black scholes,binomial,100,,,31963111.0,ns,1024
compare binomial and black scholes,binomial,100,,,32971201.0,ns,1056
compare binomial and black scholes,binomial,100,,,33959855.0,ns,1088
compare binomial and black scholes,binomial,100,,,34938407.0,ns,1120
compare binomial and black scholes,binomial,100,,,35945850.0,ns,1152
compare binomial and black scholes,binomial,100,,,37223151.0,ns,1184
compare binomial and black scholes,binomial,100,,,37971798.0,ns,1216
compare binomial and black scholes,binomial,100,,,39017908.0,ns,1248
compare binomial and black scholes,binomial,100,,,40070621.0,ns,1280
compare binomial and black scholes,binomial,100,,,40992078.0,ns,1312
compare binomial and black scholes,binomial,100,,,41997013.0,ns,1344
compare binomial and black scholes,binomial,100,,,42966600.0,ns,1376
compare binomial and black scholes,binomial,100,,,43965032.0,ns,1408
compare binomial and black scholes,binomial,100,,,44998709.0,ns,1440
compare binomial and black scholes,binomial,100,,,45921129.0,ns,1472
compare binomial and black scholes,binomial,100,,,46928477.0,ns,1504
compare binomial and black scholes,binomial,100,,,48015043.0,ns,1536
compare binomial and black scholes,binomial,100,,,48948534.0,ns,1568
compare binomial and black scholes,binomial,100,,,49956633.0,ns,1600
compare binomial and black scholes,binomial,100,,,51001011.0,ns,1632
compare binomial and black scholes,binomial,100,,,52001146.0,ns,1664
compare binomial and black scholes,binomial,100,,,52916061.0,ns,1696
compare binomial and black scholes,binomial,100,,,54094848.0,ns,1728
compare binomial and black scholes,binomial,100,,,54873972.0,ns,1760
compare binomial and black scholes,binomial,100,,,55871451.0,ns,1792
compare binomial and black scholes,binomial,100,,,56878870.0,ns,1824
compare binomial and black scholes,binomial,100,,,58060542.0,ns,1856
compare binomial and black scholes,binomial,100,,,58973334.0,ns,1888
compare binomial and black scholes,binomial,100,,,60092131.0,ns,1920
compare binomial and black scholes,binomial,100,,,60944178.0,ns,1952
compare binomial and black scholes,binomial,100,,,61880815.0,ns,1984
compare binomial and black scholes,binomial,100,,,63036370.0,ns,2016
compare binomial and black scholes,binomial,100,,,63969470.0,ns,2048
compare binomial and black scholes,binomial,100,,,64887201.0,ns,2080
compare binomial and black scholes,binomial,100,,,66001077.0,ns,2112
compare binomial and black scholes,binomial,100,,,66945990.0,ns,2144
compare binomial and black scholes,binomial,100,,,68018479.0,ns,2176
compare binomial and black scholes,binomial,100,,,68909901.0,ns,2208
compare binomial and black scholes,binomial,100,,,70633345.0,ns,2240
compare binomial and black scholes,binomial,100,,,70891756.0,ns,2272
compare binomial and black scholes,binomial,100,,,71860692.0,ns,2304
compare binomial and black scholes,binomial,100,,,73088552.0,ns,2336
compare binomial and black scholes,binomial,100,,,73952262.0,ns,2368
compare binomial and black scholes,binomial,100,,,75087289.0,ns,2400
compare binomial and black scholes,binomial,100,,,75951389.0,ns,2432
compare binomial and black scholes,binomial,100,,,76847781.0,ns,2464
compare binomial and black scholes,binomial,100,,,77912025.0,ns,2496
compare binomial and black scholes,binomial,100,,,78800171.0,ns,2528
compare binomial and black scholes,binomial,100,,,79898198.0,ns,2560
compare binomial and black scholes,binomial,100,,,80948737.0,ns,2592
compare binomial and black scholes,binomial,100,,,82197265.0,ns,2624
compare binomial and black scholes,binomial,100,,,83179466.0,ns,2656
compare binomial and black scholes,binomial,100,,,83890402.0,ns,2688
compare binomial and black scholes,binomial,100,,,85107872.0,ns,2720
compare binomial and black scholes,binomial,100,,,86303661.0,ns,2752
compare binomial and black scholes,binomial,100,,,87279641.0,ns,2784
compare binomial and black scholes,binomial,100,,,87939572.0,ns,2816
compare binomial and black scholes,binomial,100,,,88828018.0,ns,2848
compare binomial and black scholes,binomial,100,,,89924783.0,ns,2880
compare binomial and black scholes,binomial,100,,,90965974.0,ns,2912
compare binomial and black scholes,binomial,100,,,91977130.0,ns,2944
compare binomial and black scholes,binomial,100,,,93775061.0,ns,2976
compare binomial and black scholes,binomial,100,,,95098690.0,ns,3008
compare binomial and black scholes,binomial,100,,,95740086.0,ns,3040
compare binomial and black scholes,binomial,100,,,96888677.0,ns,3072
compare binomial and black scholes,binomial,100,,,97961898.0,ns,3104
compare binomial and black scholes,binomial,100,,,98928259.0,ns,3136
compare binomial and black scholes,binomial,100,,,99878280.0,ns,3168
compare binomial and black scholes,binomial,100,,,100887964.0,ns,3200
