group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,black scholes,1000,,,1082870.0,ns,24132
compare binomial and black scholes,black scholes,1000,,,1970587.0,ns,48264
compare binomial and black scholes,black scholes,1000,,,2978125.0,ns,72396
compare binomial and black scholes,black scholes,1000,,,3952363.0,ns,96528
compare binomial and black scholes,black scholes,1000,,,4937420.0,ns,120660
compare binomial and black scholes,black scholes,1000,,,5927608.0,ns,144792
compare binomial and black scholes,black scholes,1000,,,6909009.0,ns,168924
compare binomial and black scholes,black scholes,1000,,,7903404.0,ns,193056
compare binomial and black scholes,black scholes,1000,,,8889264.0,ns,217188
compare binomial and black scholes,black scholes,1000,,,9881053.0,ns,241320
compare binomial and black scholes,black scholes,1000,,,10864850.0,ns,265452
compare binomial and black scholes,black scholes,1000,,,11855136.0,ns,289584
compare binomial and black scholes,black scholes,1000,,,12858168.0,ns,313716
compare binomial and black scholes,black scholes,1000,,,13826265.0,ns,337848
compare binomial and black scholes,black scholes,1000,,,14831569.0,ns,361980
compare binomial and black scholes,black scholes,1000,,,15806778.0,ns,386112
compare binomial and black scholes,black scholes,1000,,,16814970.0,ns,410244
compare binomial and black scholes,black scholes,1000,,,17818011.0,ns,434376
compare binomial and black scholes,black scholes,1000,,,18788532.0,ns,458508
compare binomial and black scholes,black scholes,1000,,,19760203.0,ns,482640
compare binomial and black scholes,black scholes,1000,,,21115843.0,ns,506772
compare binomial and black scholes,black scholes,1000,,,21731501.0,ns,530904
compare binomial and black scholes,black scholes,1000,,,22712702.0,ns,555036
compare binomial and black scholes,black scholes,1000,,,23742764.0,ns,579168
compare binomial and black scholes,black scholes,1000,,,24738952.0,ns,603300
compare binomial and black scholes,black scholes,1000,,,25718960.0,ns,627432
compare binomial and black scholes,black scholes,1000,,,26681165.0,ns,651564
compare binomial and black scholes,black scholes,1000,,,27660262.0,ns,675696
compare binomial and black scholes,black scholes,1000,,,28678131.0,ns,699828
compare binomial and black scholes,black scholes,1000,,,29609449.0,ns,723960
compare binomial and black scholes,black scholes,1000,,,30628759.0,ns,748092
compare binomial and black scholes,black scholes,1000,,,31638614.0,ns,772224
compare binomial and black scholes,black scholes,1000,,,32617801.0,ns,796356
compare binomial and black scholes,black scholes,1000,,,33626482.0,ns,820488
compare binomial and black scholes,black scholes,1000,,,34578228.0,ns,844620
compare binomial and black scholes,black scholes,1000,,,35651971.0,ns,868752
compare binomial and black scholes,black scholes,1000,,,36601252.0,ns,892884
compare binomial and black scholes,black scholes,1000,,,37540454.0,ns,917016
compare binomial and black scholes,black scholes,1000,,,38543476.0,ns,941148
compare binomial and black scholes,black scholes,1000,,,39514356.0,ns,965280
compare binomial and black scholes,black scholes,1000,,,40570908.0,ns,989412
compare binomial and black scholes,black scholes,1000,,,41511182.0,ns,1013544
compare binomial and black scholes,black scholes,1000,,,42484157.0,ns,1037676
compare binomial and black scholes,black scholes,1000,,,43456811.0,ns,1061808
compare binomial and black scholes,black scholes,1000,,,44437651.0,ns,1085940
compare binomial and black scholes,black scholes,1000,,,45440632.0,ns,1110072
compare binomial and black scholes,black scholes,1000,,,46453161.0,ns,1134204
compare binomial and black scholes,black scholes,1000,,,47435914.0,ns,1158336
compare binomial and black scholes,black scholes,1000,,,48445519.0,ns,1182468
compare binomial and black scholes,black scholes,1000,,,49353182.0,ns,1206600
compare binomial and black scholes,black scholes,1000,,,50389114.0,ns,1230732
compare binomial and black scholes,black scholes,1000,,,51426790.0,ns,1254864
compare binomial and black scholes,black scholes,1000,,,52374168.0,ns,1278996
compare binomial and black scholes,black scholes,1000,,,53406894.0,ns,1303128
compare binomial and black scholes,black scholes,1000,,,54379458.0,ns,1327260
compare binomial and black scholes,black scholes,1000,,,55318540.0,ns,1351392
compare binomial and black scholes,black scholes,1000,,,56323585.0,ns,1375524
compare binomial and black scholes,black scholes,1000,,,57353115.0,ns,1399656
compare binomial and black scholes,black scholes,1000,,,58279925.0,ns,1423788
compare binomial and black scholes,black scholes,1000,,,59271234.0,ns,1447920
compare binomial and black scholes,black scholes,1000,,,60378029.0,ns,1472052
compare binomial and black scholes,black scholes,1000,,,61261708.0,ns,1496184
compare binomial and black scholes,black scholes,1000,,,62234322.0,ns,1520316
compare binomial and black scholes,black scholes,1000,,,63240229.0,ns,1544448
compare binomial and black scholes,black scholes,1000,,,64220397.0,ns,1568580
compare binomial and black scholes,black scholes,1000,,,65219110.0,ns,1592712
compare binomial and black scholes,black scholes,1000,,,66254411.0,ns,1616844
compare binomial and black scholes,black scholes,1000,,,67170050.0,ns,1640976
compare binomial and black scholes,black scholes,1000,,,68199290.0,ns,1665108
compare binomial and black scholes,black scholes,1000,,,69199896.0,ns,1689240
