group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
compare binomial and black scholes,black scholes,100,,,1073493.0,ns,24106
compare binomial and black scholes,black scholes,100,,,1982378.0,ns,48212
compare binomial and black scholes,black scholes,100,,,2970933.0,ns,72318
compare binomial and black scholes,black scholes,100,,,3949720.0,ns,96424
compare binomial and black scholes,black scholes,100,,,4941620.0,ns,120530
compare binomial and black scholes,black scholes,100,,,5918804.0,ns,144636
compare binomial and black scholes,black scholes,100,,,6924229.0,ns,168742
compare binomial and black scholes,black scholes,100,,,7933503.0,ns,192848
compare binomial and black scholes,black scholes,100,,,8904533.0,ns,216954
compare binomial and black scholes,black scholes,100,,,9888941.0,ns,241060
compare binomial and black scholes,black scholes,100,,,10873498.0,ns,265166
compare binomial and black scholes,black scholes,100,,,11873644.0,ns,289272
compare binomial and black scholes,black scholes,100,,,12840758.0,ns,313378
compare binomial and black scholes,black scholes,100,,,13812231.0,ns,337484
compare binomial and black scholes,black scholes,100,,,14808329.0,ns,361590
compare binomial and black scholes,black scholes,100,,,15871273.0,ns,385696
compare binomial and black scholes,black scholes,100,,,16775439.0,ns,409802
compare binomial and black scholes,black scholes,100,,,17761660.0,ns,433908
compare binomial and black scholes,black scholes,100,,,18755974.0,ns,458014
compare binomial and black scholes,black scholes,100,,,19730343.0,ns,482120
compare binomial and black scholes,black scholes,100,,,20716232.0,ns,506226
compare binomial and black scholes,black scholes,100,,,21741175.0,ns,530332
compare binomial and black scholes,black scholes,100,,,22687110.0,ns,554438
compare binomial and black scholes,black scholes,100,,,23656438.0,ns,578544
compare binomial and black scholes,black scholes,100,,,24677202.0,ns,602650
compare binomial and black scholes,black scholes,100,,,25650078.0,ns,626756
compare binomial and black scholes,black scholes,100,,,26841401.0,ns,650862
compare binomial and black scholes,black scholes,100,,,27758311.0,ns,674968
compare binomial and black scholes,black scholes,100,,,28713915.0,ns,699074
compare binomial and black scholes,black scholes,100,,,29717457.0,ns,723180
compare binomial and black scholes,black scholes,100,,,30630259.0,ns,747286
compare binomial and black scholes,black scholes,100,,,31568621.0,ns,771392
compare binomial and black scholes,black scholes,100,,,32569368.0,ns,795498
compare binomial and black scholes,black scholes,100,,,33578721.0,ns,819604
compare binomial and black scholes,black scholes,100,,,34587533.0,ns,843710
compare binomial and black scholes,black scholes,100,,,35547093.0,ns,867816
compare binomial and black scholes,black scholes,100,,,36521362.0,ns,891922
compare binomial and black scholes,black scholes,100,,,37491661.0,ns,916028
compare binomial and black scholes,black scholes,100,,,38482319.0,ns,940134
compare binomial and black scholes,black scholes,100,,,39500159.0,ns,964240
compare binomial and black scholes,black scholes,100,,,40554045.0,ns,988346
compare binomial and black scholes,black scholes,100,,,41775103.0,ns,1012452
compare binomial and black scholes,black scholes,100,,,42726679.0,ns,1036558
compare binomial and black scholes,black scholes,100,,,49090473.0,ns,1060664
